[1, size=1] 	 1.01405344 	 1,
[2, size=2] 	 0.76986088 	 1 11,
[3, size=3] 	 0.16998447 	 1 10 11,
[4, size=5] 	 0.16988877 	 1 7 8 9 10 11 12,
[5, size=4] 	 0.1643407 	 1 2 7 8 9 10 11 12,
[6, size=1] 	 1.37015191 	 1 2 3 4 6 7 8 9 10 11 12,
[7, size=1] 	 2.23683057 	 1 2 3 4 5 6 7 8 9 10 12,
[8, size=5] 	 0.25397301 	 1 3 4 5 6,
[9, size=3] 	 0.10568184 	 1 5 6,
[10, size=2] 	 0.25042598 	 1 5,
[11, size=1] 	 5.87411191 	 1 2 3 4 5 6 7 8 9 11 12,
[12, size=2] 	 0.27483692 	 1 2 3 4 5 6 8 9 11 12,
[13, size=5] 	 0.1345841 	 1 2 3 4 5 6 11,
[14, size=5] 	 0.21406404 	 1 4 5 6 11,
[15, size=3] 	 0.03583032 	 1 5 11,
[16, size=1] 	 3.02197665 	 1 2 3 4 5 6 8 9 10 11 12,
[17, size=2] 	 0.02813038 	 1 2 3 4 5 6 9 10 11 12,
[18, size=3] 	 0.16969986 	 1 2 3 4 5 6 10 11 12,
[19, size=1] 	 2.50250332 	 1 2 3 4 5 6 7 9 10 11 12,
[20, size=2] 	 0.40667705 	 1 2 3 4 5 6 7 10 11 12,
[21, size=1] 	 1.94496825 	 1 2 3 4 5 6 7 8 10 11 12,
[22, size=2] 	 0.73234611 	 1 2 3 4 5 6 7 8 10 11,
[23, size=3] 	 0.12562682 	 1 3 4 5 6 7 8 10 11,
[24, size=1] 	 3.15754692 	 1 2 3 4 5 6 7 8 9 10 11,
[25, size=1] 	 2.19893964 	 1 3 4 5 6 7 8 9 10 11 12,
[26, size=2] 	 0.34752397 	 1 4 5 6 7 8 9 10 11 12,
[27, size=3] 	 0.19409975 	 1 5 6 7 8 9 10 11 12,
[28, size=4] 	 0.22481508 	 1 5 7 8 9 10 11 12,
[29, size=1] 	 0.80291046 	 1 2 4 5 6 7 8 9 10 11 12,
[30, size=2] 	 0.23789141 	 1 2 5 6 7 8 9 10 11 12,
[31, size=1] 	 0.98172901 	 1 2 3 5 6 7 8 9 10 11 12,
[32, size=1] 	 1.54206049 	 1 2 3 4 5 7 8 9 10 11 12,
